Driver,Team,GridPosition,FinalPosition,Circuit,Winner
LEC,Ferrari,4.0,1.0,Monza,1
PIA,McLaren,2.0,2.0,Monza,0
NOR,McLaren,1.0,3.0,Monza,0
SAI,Ferrari,5.0,4.0,Monza,0
HAM,Mercedes,6.0,5.0,Monza,0
VER,Red Bull Racing,7.0,6.0,Monza,0
RUS,Mercedes,3.0,7.0,Monza,0
PER,Red Bull Racing,8.0,8.0,Monza,0
ALB,Williams,9.0,9.0,Monza,0
MAG,Haas F1 Team,13.0,10.0,Monza,0
ALO,Aston Martin,11.0,11.0,Monza,0
COL,Williams,18.0,12.0,Monza,0
RIC,RB,12.0,13.0,Monza,0
OCO,Alpine,15.0,14.0,Monza,0
GAS,Alpine,14.0,15.0,Monza,0
BOT,Kick Sauber,19.0,16.0,Monza,0
HUL,Haas F1 Team,10.0,17.0,Monza,0
ZHO,Kick Sauber,20.0,18.0,Monza,0
STR,Aston Martin,17.0,19.0,Monza,0
TSU,RB,16.0,20.0,Monza,0
NOR,McLaren,1.0,1.0,Singapore,1
VER,Red Bull Racing,2.0,2.0,Singapore,0
PIA,McLaren,5.0,3.0,Singapore,0
RUS,Mercedes,4.0,4.0,Singapore,0
LEC,Ferrari,9.0,5.0,Singapore,0
HAM,Mercedes,3.0,6.0,Singapore,0
SAI,Ferrari,10.0,7.0,Singapore,0
ALO,Aston Martin,7.0,8.0,Singapore,0
HUL,Haas F1 Team,6.0,9.0,Singapore,0
PER,Red Bull Racing,13.0,10.0,Singapore,0
COL,Williams,12.0,11.0,Singapore,0
TSU,RB,8.0,12.0,Singapore,0
OCO,Alpine,15.0,13.0,Singapore,0
STR,Aston Martin,17.0,14.0,Singapore,0
ZHO,Kick Sauber,20.0,15.0,Singapore,0
BOT,Kick Sauber,19.0,16.0,Singapore,0
GAS,Alpine,18.0,17.0,Singapore,0
RIC,RB,16.0,18.0,Singapore,0
MAG,Haas F1 Team,14.0,19.0,Singapore,0
ALB,Williams,11.0,20.0,Singapore,0
LEC,Ferrari,4.0,1.0,Austin,1
SAI,Ferrari,3.0,2.0,Austin,0
VER,Red Bull Racing,2.0,3.0,Austin,0
NOR,McLaren,1.0,4.0,Austin,0
PIA,McLaren,5.0,5.0,Austin,0
RUS,Mercedes,20.0,6.0,Austin,0
PER,Red Bull Racing,9.0,7.0,Austin,0
HUL,Haas F1 Team,11.0,8.0,Austin,0
LAW,RB,19.0,9.0,Austin,0
COL,Williams,15.0,10.0,Austin,0
MAG,Haas F1 Team,8.0,11.0,Austin,0
GAS,Alpine,6.0,12.0,Austin,0
ALO,Aston Martin,7.0,13.0,Austin,0
TSU,RB,10.0,14.0,Austin,0
STR,Aston Martin,13.0,15.0,Austin,0
ALB,Williams,14.0,16.0,Austin,0
BOT,Kick Sauber,16.0,17.0,Austin,0
OCO,Alpine,12.0,18.0,Austin,0
ZHO,Kick Sauber,18.0,19.0,Austin,0
HAM,Mercedes,17.0,20.0,Austin,0
SAI,Ferrari,1.0,1.0,Mexico,1
NOR,McLaren,3.0,2.0,Mexico,0
LEC,Ferrari,4.0,3.0,Mexico,0
HAM,Mercedes,6.0,4.0,Mexico,0
RUS,Mercedes,5.0,5.0,Mexico,0
VER,Red Bull Racing,2.0,6.0,Mexico,0
MAG,Haas F1 Team,7.0,7.0,Mexico,0
PIA,McLaren,17.0,8.0,Mexico,0
HUL,Haas F1 Team,10.0,9.0,Mexico,0
GAS,Alpine,8.0,10.0,Mexico,0
STR,Aston Martin,14.0,11.0,Mexico,0
COL,Williams,16.0,12.0,Mexico,0
OCO,Alpine,0.0,13.0,Mexico,0
BOT,Kick Sauber,15.0,14.0,Mexico,0
ZHO,Kick Sauber,19.0,15.0,Mexico,0
LAW,RB,12.0,16.0,Mexico,0
PER,Red Bull Racing,18.0,17.0,Mexico,0
ALO,Aston Martin,13.0,18.0,Mexico,0
ALB,Williams,9.0,19.0,Mexico,0
TSU,RB,11.0,20.0,Mexico,0
RUS,Mercedes,1.0,1.0,Las Vegas,1
HAM,Mercedes,10.0,2.0,Las Vegas,0
SAI,Ferrari,2.0,3.0,Las Vegas,0
LEC,Ferrari,4.0,4.0,Las Vegas,0
VER,Red Bull Racing,5.0,5.0,Las Vegas,0
NOR,McLaren,6.0,6.0,Las Vegas,0
PIA,McLaren,8.0,7.0,Las Vegas,0
HUL,Haas F1 Team,9.0,8.0,Las Vegas,0
TSU,RB,7.0,9.0,Las Vegas,0
PER,Red Bull Racing,15.0,10.0,Las Vegas,0
ALO,Aston Martin,16.0,11.0,Las Vegas,0
MAG,Haas F1 Team,12.0,12.0,Las Vegas,0
ZHO,Kick Sauber,13.0,13.0,Las Vegas,0
COL,Williams,20.0,14.0,Las Vegas,0
STR,Aston Martin,18.0,15.0,Las Vegas,0
LAW,RB,14.0,16.0,Las Vegas,0
OCO,Alpine,11.0,17.0,Las Vegas,0
BOT,Kick Sauber,19.0,18.0,Las Vegas,0
ALB,Williams,17.0,19.0,Las Vegas,0
GAS,Alpine,3.0,20.0,Las Vegas,0
NOR,McLaren,1.0,1.0,Abu Dhabi,1
SAI,Ferrari,3.0,2.0,Abu Dhabi,0
LEC,Ferrari,19.0,3.0,Abu Dhabi,0
HAM,Mercedes,16.0,4.0,Abu Dhabi,0
RUS,Mercedes,6.0,5.0,Abu Dhabi,0
VER,Red Bull Racing,4.0,6.0,Abu Dhabi,0
GAS,Alpine,5.0,7.0,Abu Dhabi,0
HUL,Haas F1 Team,7.0,8.0,Abu Dhabi,0
ALO,Aston Martin,8.0,9.0,Abu Dhabi,0
PIA,McLaren,2.0,10.0,Abu Dhabi,0
ALB,Williams,18.0,11.0,Abu Dhabi,0
TSU,RB,11.0,12.0,Abu Dhabi,0
ZHO,Kick Sauber,15.0,13.0,Abu Dhabi,0
STR,Aston Martin,13.0,14.0,Abu Dhabi,0
DOO,Alpine,17.0,15.0,Abu Dhabi,0
MAG,Haas F1 Team,14.0,16.0,Abu Dhabi,0
LAW,RB,12.0,17.0,Abu Dhabi,0
BOT,Kick Sauber,9.0,18.0,Abu Dhabi,0
COL,Williams,20.0,19.0,Abu Dhabi,0
PER,Red Bull Racing,10.0,20.0,Abu Dhabi,0
